,ID,year,month,quarter,country,gender,age,visit_purpose,num_visits,revisit_indicator,travel_type,satisfaction,revisit_intent,recommend_intent,visit_local_indicator,seoul,gyeonggi,incheon,gangwon,chungcheong,gyeongsang,jeolla,jeju,planned_activity,stay_duration,total_duration,total_expense,accommodation_cost,food_cost,shopping_cost,accommodation_percent,food_percent,shopping_percent,food,landscape,heritage,language,safety,budget,accommodation,transport,navigation,cluster
646,892.0,2024,1,1,5,2,2,1,2,1,1,5,5,5,1,1,0,0,0,0,1,0,0,4.0,27.0,28.0,3087.0540000000005,528.6051369863014,634.3261643835617,422.88410958904115,0.17123287671232876,0.2054794520547945,0.136986301369863,5,5,5,5,5,5,5,5,5,0
664,912.0,2024,1,1,2,2,5,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,7.0,8.0,1980.0,500.0,150.0,200.0,0.25252525252525254,0.07575757575757576,0.10101010101010101,5,5,5,5,5,5,5,5,5,2
666,914.0,2024,1,1,4,2,2,1,2,1,1,5,5,5,0,1,0,0,0,0,0,0,0,1.0,5.0,6.0,1284.02,506.84999999999997,337.9,270.32,0.39473684210526316,0.2631578947368421,0.21052631578947367,5,5,5,5,5,5,5,5,5,3
671,924.0,2024,1,1,2,2,2,1,1,0,1,5,4,5,0,1,0,0,0,0,0,0,0,6.0,5.0,6.0,2055.0,400.0,200.0,200.0,0.19464720194647203,0.09732360097323602,0.09732360097323602,5,5,5,5,5,5,5,5,5,2
674,928.0,2024,1,1,1,2,3,1,3,1,1,4,4,4,0,1,0,0,0,0,0,0,0,3.0,6.0,7.0,1215.0500000000002,375.20844055584155,312.6737004632013,0.0,0.3088008234688626,0.25733401955738555,0.0,4,4,4,4,4,4,4,4,4,3
689,953.0,2024,1,1,2,2,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,1.0,7.0,8.0,1849.9999999999998,606.5573770491803,404.37158469945354,202.18579234972677,0.3278688524590164,0.21857923497267762,0.10928961748633881,5,5,5,4,5,4,5,5,5,2
690,954.0,2024,1,1,2,2,4,1,1,0,1,5,5,5,1,1,1,0,0,0,0,0,0,2.0,8.0,9.0,2500.0,770.0,700.0,300.0,0.308,0.28,0.12,5,5,5,5,5,5,5,5,5,6
703,970.0,2024,1,1,2,1,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,7.0,5.0,6.0,1935.0,500.0,150.0,150.0,0.25839793281653745,0.07751937984496124,0.07751937984496124,5,5,5,5,5,5,5,5,5,1
719,988.0,2024,1,1,1,2,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,7.0,3.0,4.0,633.6750000000001,142.0,88.75,106.5,0.22408963585434172,0.14005602240896356,0.1680672268907563,5,5,5,5,5,5,5,5,5,2
725,994.0,2024,1,1,1,1,6,1,2,1,1,4,5,5,0,1,0,0,0,0,0,0,0,4.0,2.0,3.0,922.9999999999998,178.1853281853282,142.54826254826256,356.3706563706564,0.1930501930501931,0.1544401544401545,0.3861003861003862,5,4,4,3,5,4,4,4,5,4
738,1009.0,2024,1,1,2,2,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,7.0,5.0,6.0,1745.0,400.0,150.0,150.0,0.22922636103151864,0.08595988538681948,0.08595988538681948,5,5,5,4,4,3,4,3,3,2
759,1038.0,2024,1,1,5,2,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,6.0,5.0,6.0,2710.0,279.3814432989691,232.81786941580756,931.2714776632303,0.10309278350515465,0.0859106529209622,0.3436426116838488,5,5,4,3,5,4,5,4,4,2
779,1060.0,2024,1,1,2,2,2,1,3,1,1,4,4,4,1,1,1,0,1,0,0,0,0,2.0,4.0,5.0,1130.4000000000003,250.69354838709685,227.90322580645167,227.90322580645167,0.2217741935483871,0.20161290322580644,0.20161290322580644,4,5,5,3,4,5,3,4,4,0
783,1065.0,2024,1,1,1,1,2,1,1,0,1,4,5,5,2,0,0,0,0,0,0,0,1,2.0,3.0,4.0,768.9000000000001,167.76,279.59999999999997,0.0,0.21818181818181814,0.36363636363636354,0.0,4,4,4,3,4,4,4,4,4,1
